sgRNA	Gene	test1.D0	test1.T14	test1.D14	test3.D0	test3.T14	test3.D14
HGLibA_20689	GYG1	212	197	199	264	262	293
HGLibA_12847	DEFB110	68	56	70	81	94	56
HGLibA_52863	UGDH	32	67	66	41	41	50
HGLibA_39029	PSEN2	266	217	220	284	373	246
HGLibA_60198	hsa-mir-4448	111	111	144	115	104	88
HGLibA_49608	TLE1	76	57	67	76	27	74
HGLibA_13484	DNAH2	183	159	205	204	259	210
HGLibA_65136	NonTargetingControlGuideForHuman_0753	81	113	92	83	161	79
HGLibA_44227	SIRT5	126	160	151	133	106	74
HGLibA_27774	LYSMD4	224	220	221	236	288	156
HGLibA_01354	AIMP1	192	204	181	265	229	203
HGLibA_47494	STK35	213	162	159	157	219	128
HGLibA_62562	hsa-mir-6077-1	147	130	211	179	229	176
HGLibA_16507	FAM21B	82	52	103	83	49	77
HGLibA_39055	PSG8	152	141	167	124	175	98
HGLibA_08335	CD300C	119	100	101	47	8	47
HGLibA_31159	NARS2	174	214	243	305	275	177
HGLibA_54076	WDR36	126	168	199	103	61	83
HGLibA_38906	PRSS16	12	5	15	12	2	10
HGLibA_02530	APOL2	79	75	100	80	122	69
HGLibA_58979	hsa-mir-329-1	420	321	413	503	446	439
HGLibA_63536	hsa-mir-6840	97	117	133	69	223	100
HGLibA_45121	SLC39A7	118	41	46	97	179	49
HGLibA_20175	GPX3	174	182	206	188	125	147
HGLibA_55942	ZNF415	36	49	31	50	16	31
HGLibA_60767	hsa-mir-4663	257	237	262	193	238	218
HGLibA_06674	C9orf129	29	40	31	28	48	21
HGLibA_01955	ANKFN1	52	50	64	62	45	61
HGLibA_30325	MTCH1	54	37	71	74	10	22
HGLibA_05514	C16orf97	9	6	28	0	29	6
HGLibA_01364	AIPL1	88	93	37	95	164	75
HGLibA_23331	INO80E	140	165	227	209	120	153
HGLibA_50469	TMEM61	184	141	132	218	356	209
HGLibA_39952	RAB44	104	78	89	130	216	52
HGLibA_13374	DLX2	139	170	153	203	64	102
HGLibA_63178	hsa-mir-6755	204	183	179	210	148	102
HGLibA_60714	hsa-mir-4652	234	224	230	221	195	197
HGLibA_05663	C19orf44	270	279	247	295	353	301
HGLibA_39486	PTPRB	201	155	177	192	353	212
HGLibA_26135	LCE3C	44	52	29	47	80	40
HGLibA_14439	EDARADD	281	302	289	200	274	230
HGLibA_22780	IFT88	197	204	245	288	142	200
HGLibA_07405	CBLN1	80	45	68	87	119	61
HGLibA_02567	APPL1	12	9	25	2	0	0
HGLibA_33507	OR10H1	253	169	224	227	230	202
HGLibA_07545	CCDC112	131	112	115	139	174	65
HGLibA_03326	ASMTL_X	156	136	177	178	171	157
HGLibA_17145	FBXW2	174	170	157	169	232	132
HGLibA_48435	TASP1	94	76	56	45	89	65
HGLibA_38488	PRIMA1	35	27	39	74	81	64
HGLibA_44720	SLC25A36	60	63	44	85	84	46
HGLibA_39584	PUM2	216	178	131	168	245	164
HGLibA_42149	RPS4Y2	168	129	188	164	275	135
HGLibA_26787	LOC100130451	294	215	328	384	289	271
HGLibA_36125	PEX7	151	250	139	209	286	188
HGLibA_46606	SPECC1L	250	139	154	177	167	122
HGLibA_07110	CAMSAP2	106	58	144	92	39	50
HGLibA_00163	ABCC11	134	175	191	115	294	163
HGLibA_01309	AHRR	171	166	145	162	334	162
HGLibA_56414	ZNF623	70	50	58	36	67	71
HGLibA_36257	PGLYRP4	51	111	78	91	143	103
HGLibA_25732	KRTAP26-1	148	104	106	26	187	56
HGLibA_40629	RBP1	123	157	210	208	90	135
HGLibA_38401	PRDM8	159	181	200	149	196	187
HGLibA_29799	MPZL2	163	166	138	142	186	143
HGLibA_40642	RBP5	76	91	70	33	76	68
HGLibA_49115	TF	192	208	250	274	360	189
HGLibA_39135	PSMC3IP	304	222	223	216	195	213
HGLibA_11136	CRH	153	143	185	132	196	134
HGLibA_09596	CHRNB3	138	180	128	281	197	153
HGLibA_60624	hsa-mir-4540	92	47	49	83	79	52
HGLibA_16329	FAM184B	67	70	86	54	77	63
HGLibA_00477	ACOT13	144	141	124	109	207	117
HGLibA_20514	GTDC1	20	13	33	27	13	14
HGLibA_53535	VASN	96	107	80	111	111	84
HGLibA_17553	FKBP10	73	81	54	56	85	35
HGLibA_48168	TACO1	63	72	39	73	35	39
HGLibA_18778	GCGR	98	118	57	123	109	29
HGLibA_24763	KIAA1462	113	89	104	110	158	148
HGLibA_02001	ANKRD13A	295	298	267	220	517	278
HGLibA_05546	C17orf53	45	11	30	13	28	3
HGLibA_35605	PCGF6	39	12	32	55	22	15
HGLibA_02394	APCDD1	65	79	55	28	51	53
HGLibA_04024	B4GALT1	90	82	124	169	164	119
HGLibA_04532	BIVM	151	211	208	180	126	132
HGLibA_13236	DIMT1	59	52	34	34	41	28
HGLibA_34206	OR52R1	150	207	134	112	211	140
HGLibA_60810	hsa-mir-4673	175	160	168	215	276	234
HGLibA_47880	SV2C	67	81	120	94	171	104
HGLibA_24068	KAT8	283	98	129	258	142	103
HGLibA_14375	EBPL	107	96	84	116	34	104
HGLibA_01550	ALDH1B1	197	194	171	228	195	176
HGLibA_53347	USP36	129	95	104	162	172	113
HGLibA_30835	MYO1F	142	156	180	129	120	114
HGLibA_15304	EPHA7	57	71	41	57	62	56
HGLibA_56474	ZNF658	90	71	48	148	80	80
HGLibA_29042	MFAP2	125	173	145	121	150	140
HGLibA_10484	COG6	110	120	132	193	187	94
HGLibA_37292	PMAIP1	207	238	219	230	323	220
HGLibA_38083	PPP1R27	91	70	69	86	58	50
HGLibA_27236	LRPAP1	187	152	161	236	141	173
HGLibA_32406	NPAT	150	59	64	100	78	26
HGLibA_61117	hsa-mir-4755	273	242	242	339	467	232
HGLibA_35688	PCSK9	85	109	136	117	65	140
HGLibA_62075	hsa-mir-548v	67	94	128	53	162	89
HGLibA_28245	MAP9	116	75	68	64	80	57
HGLibA_14736	EIF2B1	124	113	64	161	80	31
HGLibA_48266	TAGAP	127	126	119	149	179	108
HGLibA_58326	hsa-mir-2392	213	264	210	291	208	140
HGLibA_44457	SLC16A9	132	140	115	174	174	130
HGLibA_31768	NFASC	67	23	15	90	51	35
HGLibA_14635	EGFR	169	152	81	147	230	112
HGLibA_65162	NonTargetingControlGuideForHuman_0779	55	35	64	92	63	75
HGLibA_25379	KPRP	143	122	169	180	175	101
HGLibA_21778	HNF1B	161	136	163	228	305	143
HGLibA_60179	hsa-mir-4444-1	82	66	66	67	50	50
HGLibA_41856	RPL10A	36	34	23	53	28	20
HGLibA_09191	CERCAM	129	163	162	128	137	172
HGLibA_48951	TECRL	228	241	239	272	306	221
HGLibA_52620	UBE2J2	78	40	43	46	48	55
HGLibA_55677	ZNF256	76	50	59	56	56	38
HGLibA_14284	DYRK4	210	149	139	119	243	120
HGLibA_63297	hsa-mir-6780b	141	189	151	148	54	72
HGLibA_63540	hsa-mir-6841	147	155	170	150	272	136
HGLibA_57079	ZXDC	199	226	194	276	321	217
HGLibA_33769	OR2B3	166	114	140	87	125	86
HGLibA_12269	DAB2	125	89	156	115	183	112
HGLibA_52903	UGT2A1	171	145	144	135	210	190
HGLibA_60821	hsa-mir-4676	185	270	205	195	277	169
HGLibA_35408	PCDH19	64	59	67	125	89	68
HGLibA_06507	C6orf7	360	385	496	435	343	356
HGLibA_58363	hsa-mir-26a-1	165	120	176	159	154	94
HGLibA_27813	M1AP	103	137	108	145	155	112
HGLibA_20957	HCFC1	43	19	26	41	65	31
HGLibA_43258	SEC62	215	163	151	165	74	96
HGLibA_30987	NAA30	168	129	145	181	255	102
HGLibA_52378	TWIST2	285	243	254	314	231	179
HGLibA_34588	ORAI1	107	42	70	159	57	69
HGLibA_05060	C10orf2	132	135	164	191	149	114
HGLibA_58930	hsa-mir-320b-2	205	206	171	218	120	138
HGLibA_05622	C18orf63	68	135	147	89	185	96
HGLibA_55565	ZNF2	145	118	159	202	454	209
HGLibA_43978	SH3TC1	163	196	303	136	178	150
HGLibA_50324	TMEM253	149	119	143	142	135	90
HGLibA_36341	PHF13	152	223	151	164	280	179
HGLibA_28119	MAP1B	129	158	168	115	129	127
HGLibA_60191	hsa-mir-4446	95	92	98	57	54	56
HGLibA_10156	CLU	230	274	333	366	301	309
HGLibA_11866	CXCL2	218	284	249	311	312	189
HGLibA_08305	CD244	413	438	426	454	368	340
HGLibA_57213	hsa-mir-1180	185	208	103	246	251	202
HGLibA_29097	MFSD2B	93	77	103	132	177	141
HGLibA_21421	HIST1H2BD	240	225	350	273	237	203
HGLibA_39955	RAB4A	157	147	179	182	369	154
HGLibA_24058	KAT5	124	184	107	120	167	87
HGLibA_45548	SLTM	283	247	240	233	291	208
HGLibA_32519	NPRL3	36	40	24	7	24	9
HGLibA_24313	KCNK17	353	351	314	480	485	351
HGLibA_04865	BSG	178	209	105	205	313	146
HGLibA_28179	MAP3K19	148	139	205	82	161	137
HGLibA_15702	EVPL	84	61	101	120	67	88
HGLibA_17795	FOS	127	105	123	98	131	115
HGLibA_03888	AVEN	180	141	91	198	163	94
HGLibA_32761	NSL1	48	29	11	19	63	19
HGLibA_11123	CREG2	184	142	79	148	98	105
HGLibA_02747	ARHGAP28	125	164	131	115	175	91
HGLibA_50763	TNFRSF17	230	201	214	278	219	145
HGLibA_11179	CRK	265	282	305	297	285	240
HGLibA_49370	THOC3	56	26	23	124	74	11
HGLibA_40429	RBBP4	153	223	92	159	152	77
HGLibA_59452	hsa-mir-378g	78	67	42	53	81	34
HGLibA_00455	ACMSD	107	114	87	120	85	150
HGLibA_11916	CXorf36	222	374	295	274	333	385
HGLibA_39824	RAB18	93	85	85	39	147	81
HGLibA_41301	RINL	230	235	225	160	242	162
HGLibA_37335	PMS2	95	115	80	186	44	194
HGLibA_56489	ZNF665	44	27	57	23	89	41
HGLibA_44336	SLC10A3	51	34	41	44	28	35
HGLibA_63756	hsa-mir-6893	102	140	65	58	80	41
HGLibA_12714	DDX42	79	39	38	94	70	30
HGLibA_34323	OR5L1	65	136	97	121	66	72
HGLibA_34787	OTX2	80	60	21	80	89	86
HGLibA_06884	CACNA1D	299	320	383	280	434	308
HGLibA_32501	NPPB	81	138	118	117	314	109
HGLibA_23695	ISY1	138	127	154	169	123	80
HGLibA_46579	SPDYE1	71	94	60	98	137	45
HGLibA_35692	PCTP	57	141	115	135	66	59
HGLibA_05019	C10orf10	136	112	117	94	138	112
HGLibA_11754	CTXN1	149	183	196	142	207	159
HGLibA_53302	USP21	152	141	122	155	182	121
HGLibA_15432	ERCC1	132	109	99	89	159	72
HGLibA_28885	MEN1	37	24	24	16	60	43
HGLibA_44238	SIT1	33	29	22	72	11	26
HGLibA_63791	hsa-mir-7108	94	129	88	81	161	40
HGLibA_58644	hsa-mir-3147	44	49	44	47	108	44
HGLibA_28960	METTL15	92	74	52	96	77	34
HGLibA_42487	RWDD3	408	333	385	312	304	240
HGLibA_26337	LETM2	193	273	271	181	245	129
HGLibA_37788	POU5F1B	185	177	173	201	199	170
HGLibA_43443	SEP4	106	84	75	133	141	81
HGLibA_29046	MFAP3	38	11	38	20	42	36
HGLibA_61705	hsa-mir-5197	71	43	104	35	74	48
HGLibA_29888	MRPL1	274	179	251	93	278	206
HGLibA_64736	NonTargetingControlGuideForHuman_0353	73	59	79	38	6	43
HGLibA_27980	MAGEE1	85	71	68	100	50	44
HGLibA_18389	GABRG1	34	35	23	30	20	27
HGLibA_25780	KRTAP4-9	90	111	47	80	109	46
HGLibA_16349	FAM188B	87	138	97	182	158	122
HGLibA_51504	TRIM43B	99	88	81	23	85	83
HGLibA_10722	COPS5	182	181	225	364	312	207
HGLibA_45794	SMOC1	80	118	136	81	93	112
HGLibA_53331	USP31	57	65	85	8	93	41
HGLibA_48858	TCTE1	137	162	143	148	193	122
HGLibA_40682	RCC1	233	173	156	216	118	127
HGLibA_52150	TTC7A	150	98	91	72	130	110
HGLibA_07079	CAMK2N1	168	136	131	149	204	223
HGLibA_33613	OR13D1	143	176	84	76	153	57
HGLibA_12539	DCT	88	81	98	105	119	53
HGLibA_51464	TRIM33	99	116	126	107	173	89
HGLibA_09618	CHST12	72	73	146	109	190	60
HGLibA_58071	hsa-mir-193a	237	177	191	109	139	112
HGLibA_29044	MFAP3	99	74	133	73	244	89
HGLibA_32549	NPY1R	43	49	56	48	61	21
HGLibA_27855	MADCAM1	304	314	263	277	540	235
HGLibA_26265	LECT1	108	52	104	69	43	57
HGLibA_30369	MTG1	300	222	283	343	283	268
HGLibA_32737	NRXN2	80	72	63	110	163	91
HGLibA_64993	NonTargetingControlGuideForHuman_0610	136	134	146	120	142	96
HGLibA_04803	BRI3	17	15	25	0	0	5
HGLibA_18192	FUT3	171	121	162	277	246	168
HGLibA_34555	OR8U1	218	266	247	241	210	161
HGLibA_03198	ASAP2	101	138	107	96	122	82
HGLibA_42742	SARDH	47	26	36	23	58	50
HGLibA_42896	SCFD2	28	39	39	7	20	25
HGLibA_19373	GLYATL1	98	137	104	148	217	139
HGLibA_25405	KREMEN2	53	33	41	26	43	35
HGLibA_22026	HPD	90	108	98	133	125	115
HGLibA_22028	HPDL	153	152	167	229	219	117
HGLibA_23145	IL36A	144	120	109	148	168	69
HGLibA_53684	VLDLR	97	81	113	98	36	120
HGLibA_37315	PMM1	114	84	102	94	117	55
HGLibA_06525	C7orf25	133	142	128	229	392	98
HGLibA_28968	METTL17	215	187	243	258	183	186
HGLibA_09920	CLDND2	25	82	99	60	57	84
HGLibA_12035	CYFIP2	121	191	96	80	78	75
HGLibA_29143	MGAT4B	101	111	102	176	246	110
HGLibA_49692	TM4SF1	145	111	145	125	146	123
HGLibA_32029	NKX1-2	40	27	33	30	23	14
HGLibA_36059	PER3	282	418	359	279	281	258
HGLibA_63514	hsa-mir-6834	69	62	62	41	39	49
HGLibA_61993	hsa-mir-548h-1	98	63	52	62	187	102
HGLibA_40192	RANBP1	104	87	92	64	135	88
HGLibA_45768	SMIM7	116	138	131	168	139	128
HGLibA_21593	HLA-A	67	61	72	103	74	69
HGLibA_48683	TBXAS1	65	71	77	150	126	79
HGLibA_47929	SYCP1	112	55	113	108	148	80
HGLibA_17498	FIBCD1	162	125	175	168	228	257
HGLibA_41463	RNF11	223	168	160	120	163	141
HGLibA_10052	CLIP4	169	184	185	183	369	186
HGLibA_36372	PHF21B	45	44	37	29	16	19
HGLibA_02664	ARFGAP2	73	107	118	142	222	128
HGLibA_14282	DYRK4	76	102	102	131	182	82
HGLibA_17505	FIBP	48	96	67	34	140	52
HGLibA_23260	IMPDH2	97	163	82	87	181	46
HGLibA_40001	RABEP1	291	358	297	273	223	226
HGLibA_03073	ARPC1A	214	193	154	117	195	181
HGLibA_60508	hsa-mir-4516	49	27	24	58	99	55
HGLibA_42159	RPS6KA1	90	111	90	125	116	58
HGLibA_00021	A4GNT	176	216	152	294	259	149
HGLibA_20238	GREB1L	293	339	323	445	321	291
HGLibA_43829	SGK223	192	162	171	159	226	195
HGLibA_03593	ATP1B1	197	163	163	193	147	67
HGLibA_21062	HDX	148	104	124	102	194	161
HGLibA_24695	KIAA1109	214	327	344	304	338	293
HGLibA_52436	TXNL1	55	80	70	44	71	88
HGLibA_55216	ZFP41	169	237	188	98	117	121
HGLibA_34758	OTUD1	135	118	144	92	93	117
HGLibA_57949	hsa-mir-16-2	117	102	90	126	180	147
HGLibA_60006	hsa-mir-4321	171	221	155	185	219	132
HGLibA_09361	CHCHD10	28	17	19	16	15	39
HGLibA_52582	UBE2D1	109	108	88	128	136	90
HGLibA_33333	OIP5	98	116	114	140	81	47
HGLibA_28002	MAGI3	112	172	102	192	147	122
HGLibA_38954	PRSS50	79	101	83	50	122	49
HGLibA_36621	PIK3C2A	113	91	44	65	39	76
HGLibA_59726	hsa-mir-4255	213	220	244	283	140	176
HGLibA_13829	DPF2	55	81	64	36	132	59
HGLibA_49199	TG	29	14	38	64	50	48
HGLibA_18213	FUZ	101	75	60	82	164	65
HGLibA_39644	PWWP2B	117	66	138	84	181	122
HGLibA_31921	NICN1	139	99	152	130	141	135
HGLibA_46338	SPACA7	236	189	168	172	222	220
HGLibA_27965	MAGEC3	56	77	81	65	57	43
HGLibA_53605	VDAC3	133	103	106	107	90	96
HGLibA_38218	PPP6C	146	158	122	109	158	82
HGLibA_49021	TES	57	26	33	0	34	40
HGLibA_27773	LYSMD4	217	205	232	225	199	166
HGLibA_32318	NOP9	78	102	59	76	59	45
HGLibA_11585	CTBP1	241	228	217	191	107	179
HGLibA_28641	MCOLN2	38	64	26	69	61	38
HGLibA_26908	LOC283403	118	97	114	84	121	45
HGLibA_04674	BOD1L2	199	143	181	89	112	88
HGLibA_12158	CYP3A43	124	110	85	126	193	131
HGLibA_40120	RAET1E	71	68	96	69	41	50
HGLibA_04067	BACH2	153	132	135	195	162	102
HGLibA_36162	PFKFB4	103	80	95	97	94	98
HGLibA_23252	IMPAD1	173	141	153	193	97	110
HGLibA_64083	hsa-mir-8061	103	118	93	127	123	101
HGLibA_19903	GPR137C	75	75	49	89	115	95
HGLibA_06252	C3orf55	136	86	124	102	169	97
HGLibA_19826	GPN1	112	70	72	107	61	47
HGLibA_56098	ZNF493	90	143	149	88	193	108
HGLibA_14866	EIF6	54	97	70	37	122	15
HGLibA_29309	MIS18BP1	48	57	40	86	132	66
HGLibA_31891	NHLH1	137	88	91	84	43	88
HGLibA_45054	SLC38A1	124	143	140	151	104	106
HGLibA_12163	CYP3A7	280	257	259	389	509	223
HGLibA_08809	CDKL2	128	183	150	137	74	51
HGLibA_34796	OVCH2	76	44	78	81	155	67
HGLibA_26271	LEF1	151	228	189	212	396	234
HGLibA_18256	FYTTD1	97	69	89	63	71	49
HGLibA_42916	SCGB1D2	158	122	162	113	137	158
HGLibA_60771	hsa-mir-4664	158	108	126	99	101	137
HGLibA_50064	TMEM173	220	241	228	220	288	242
HGLibA_12985	DEPDC7	92	121	88	109	135	83
HGLibA_40289	RARS	85	58	43	86	157	114
HGLibA_05877	C1orf56	78	55	75	72	37	49
HGLibA_10229	CMTM8	136	133	172	211	151	142
HGLibA_42315	RSG1	181	231	220	306	229	172
HGLibA_33920	OR3A3	59	38	74	75	75	103
HGLibA_05121	C11orf21	73	44	89	108	112	59
HGLibA_50001	TMEM151A	39	41	19	24	43	40
HGLibA_00239	ABHD12	107	129	155	114	48	67
HGLibA_37278	PLXNC1	178	211	278	162	188	188
HGLibA_25149	KLHL20	142	145	179	67	148	113
HGLibA_55361	ZKSCAN7	183	214	227	205	346	211
HGLibA_51538	TRIM50	186	256	294	268	300	232
HGLibA_03080	ARPC2	40	66	56	39	40	31
HGLibA_64055	hsa-mir-8054	54	46	71	44	77	47
HGLibA_17349	FGD3	102	51	72	87	214	143
HGLibA_59866	hsa-mir-429	153	221	172	133	185	173
HGLibA_33324	OGG1	157	159	180	104	157	87
HGLibA_48820	TCN1	105	148	148	168	202	140
HGLibA_57485	hsa-mir-1265	283	263	238	318	369	325
HGLibA_17503	FIBP	72	64	83	55	82	33
HGLibA_57663	hsa-mir-1296	49	121	88	157	157	98
HGLibA_58976	hsa-mir-328	91	133	118	147	135	135
HGLibA_60640	hsa-mir-4634	16	32	40	16	64	60
HGLibA_50703	TNF	71	101	66	99	173	76
HGLibA_23748	ITGA9	37	48	43	66	68	17
HGLibA_40739	RDH13	125	149	139	247	241	245
HGLibA_29985	MRPL42	28	46	49	19	5	45
HGLibA_22831	IGFBP6	78	66	43	60	63	57
HGLibA_63040	hsa-mir-6720	209	174	167	206	217	178
HGLibA_04220	BBS5	68	94	49	47	42	62
HGLibA_31434	NDST4	54	83	83	84	191	69
HGLibA_28770	MED19	93	149	130	188	206	163
HGLibA_58350	hsa-mir-2467	103	67	71	10	124	45
HGLibA_31579	NEB	412	396	470	529	463	313
HGLibA_39540	PTPRU	109	81	58	111	144	71
HGLibA_01140	AGAP11	82	64	88	97	50	92
HGLibA_06245	C3orf43	82	80	76	71	135	87
HGLibA_11677	CTRB1	387	310	293	361	338	255
HGLibA_35678	PCSK5	135	147	130	147	127	168
HGLibA_60817	hsa-mir-4675	117	146	61	64	65	97
HGLibA_41280	RIMS2	69	78	67	69	53	49
HGLibA_61561	hsa-mir-512-1	245	234	294	269	182	203
HGLibA_31441	NDUFA10	105	80	80	87	163	67
HGLibA_55838	ZNF34	93	78	91	114	50	95
HGLibA_18363	GABRA3	125	124	172	236	178	188
HGLibA_02878	ARHGEF9	77	83	78	71	133	89
HGLibA_49063	TEX14	60	45	57	55	53	28
HGLibA_54342	WNT1	79	49	47	63	85	70
HGLibA_56220	ZNF554	133	80	126	174	127	97
HGLibA_40908	RFC3	46	19	15	43	21	13
HGLibA_09651	CHST9	90	61	97	93	207	76
HGLibA_62577	hsa-mir-608	56	52	33	15	64	16
HGLibA_31202	NBAS	100	109	117	168	190	89
HGLibA_29874	MROH6	175	118	100	218	225	129
HGLibA_14530	EFCAB13	134	151	170	212	161	136
HGLibA_43607	SERTAD2	116	95	133	123	212	111
HGLibA_51344	TRDMT1	114	124	153	125	172	121
HGLibA_36074	PET117	25	17	29	24	57	29
HGLibA_63134	hsa-mir-6745	136	127	147	76	29	60
HGLibA_35011	PAGE2B	179	199	247	150	189	148
HGLibA_02219	ANXA1	53	84	81	85	62	62
HGLibA_00631	ACTL8	88	47	53	36	25	40
HGLibA_41402	RNASE2	93	51	58	68	77	79
HGLibA_41360	RLTPR	252	252	210	255	304	245
HGLibA_21860	HOGA1	48	54	75	76	66	50
HGLibA_28956	METTL13	53	63	69	21	49	15
HGLibA_21556	HIST3H2A	38	26	46	21	11	9
HGLibA_35228	PARP16	237	310	286	244	264	146
HGLibA_45509	SLIT3	266	236	290	312	180	262
HGLibA_28580	MCF2L	119	78	76	92	114	68
HGLibA_12989	DEPTOR	55	62	76	90	76	72
HGLibA_54877	ZBTB4	137	143	201	185	143	134
HGLibA_58094	hsa-mir-196a-1	235	193	198	270	240	253
HGLibA_02755	ARHGAP31	166	129	137	95	179	158
HGLibA_57424	hsa-mir-1255b-1	81	75	46	97	151	92
HGLibA_12562	DCTPP1	43	67	50	133	36	54
HGLibA_02804	ARHGEF1	183	190	180	157	330	151
HGLibA_33345	OLFM1	147	172	124	152	224	176
HGLibA_44049	SHISA7	121	162	119	121	186	110
HGLibA_62935	hsa-mir-6515	65	106	53	102	62	32
HGLibA_26386	LGALS9C	70	22	26	43	81	37
HGLibA_38236	PPT2	118	83	126	128	117	51
HGLibA_03260	ASCC2	162	125	170	97	213	129
HGLibA_19476	GNAT2	97	142	82	133	179	124
HGLibA_34054	OR4P4	15	22	38	25	26	29
HGLibA_63006	hsa-mir-668	192	199	194	245	211	151
HGLibA_17956	FOXS1	279	255	258	294	413	236
HGLibA_55126	ZDHHC7	100	44	91	76	80	87
HGLibA_26756	LOC100129216	91	102	58	101	119	73
HGLibA_43779	SFTPD	27	37	7	54	83	17
HGLibA_12502	DCLK2	70	91	81	97	159	108
HGLibA_48369	TAS2R13	169	152	147	169	287	188
HGLibA_04887	BSX	122	94	141	155	110	86
HGLibA_50151	TMEM192	149	192	180	186	148	126
HGLibA_45623	SMARCC1	71	80	111	60	123	71
HGLibA_57217	hsa-mir-1181	113	83	83	104	126	41
HGLibA_49695	TM4SF18	225	243	327	220	243	217
HGLibA_19368	GLUL	124	113	127	126	83	120
HGLibA_05222	C12orf10	161	163	216	216	370	180
HGLibA_27015	LONP1	267	218	299	228	267	207
HGLibA_18555	GALNT2	34	22	38	0	0	14
HGLibA_15663	ETV5	58	62	81	92	68	55
HGLibA_02434	APLN	161	106	125	108	91	91
HGLibA_39078	PSMA4	235	208	137	324	208	96
HGLibA_43419	SEPN1	256	274	251	356	387	249
HGLibA_38869	PRRG1	220	200	206	222	209	158
HGLibA_18536	GALNT12	65	56	91	104	136	53
HGLibA_22334	HSPE1	162	62	27	160	10	34
HGLibA_54345	WNT10A	123	87	72	148	183	82
HGLibA_05151	C11orf52	136	166	187	141	103	133
HGLibA_53778	VPS37B	133	121	104	205	141	117
HGLibA_46555	SPC25	63	46	37	67	73	44
HGLibA_05508	C16orf95	75	75	84	72	117	88
HGLibA_42026	RPP21	96	77	110	116	149	86
HGLibA_56295	ZNF577	165	144	131	124	126	111
HGLibA_32495	NPNT	223	299	220	248	434	185
HGLibA_60240	hsa-mir-4458	133	179	131	202	232	208
HGLibA_43525	SERPINA6	132	128	191	145	119	104
HGLibA_15144	ENO2	33	62	57	67	82	22
HGLibA_17985	FREM1	122	130	140	111	78	130
HGLibA_44177	SIM2	113	150	163	149	259	101
HGLibA_45586	SMAD7	327	313	322	342	499	408
HGLibA_39937	RAB40B	150	202	129	115	198	162
HGLibA_46111	SNX9	140	164	204	161	364	202
HGLibA_63557	hsa-mir-6846	141	142	182	159	146	201
HGLibA_54125	WDR54	77	70	75	61	80	63
HGLibA_21424	HIST1H2BE	52	78	47	108	83	55
HGLibA_38208	PPP4R4	123	92	97	81	97	108
HGLibA_31914	NHS	84	88	95	106	187	82
HGLibA_59401	hsa-mir-375	103	125	87	72	226	62
HGLibA_50230	TMEM219	142	144	165	171	173	197
HGLibA_53039	UNC93B1	136	85	83	175	191	98
HGLibA_57220	hsa-mir-1182	181	228	178	212	174	150
HGLibA_65066	NonTargetingControlGuideForHuman_0683	57	76	46	47	109	59
HGLibA_05336	C14orf166B	84	56	93	98	92	66
HGLibA_22503	ICAM4	51	47	18	45	64	54
HGLibA_09767	CKB	52	46	65	18	68	32
HGLibA_28418	MAT2A	59	65	69	105	37	63
HGLibA_64234	hsa-mir-889	251	183	189	139	250	174
HGLibA_45961	SNRPA	218	195	153	282	134	143
HGLibA_37712	POSTN	45	65	38	31	72	56
HGLibA_54587	XRCC2	112	179	104	166	176	91
HGLibA_00535	ACRC	125	80	144	90	67	100
HGLibA_23694	ISY1	187	228	177	117	199	101
HGLibA_18830	GCSAML	47	18	42	28	9	21
HGLibA_54648	YBX3	83	144	124	73	120	96
HGLibA_07384	CBFA2T2	94	148	170	88	90	77
HGLibA_07208	CAPZA2	53	79	61	97	138	77
HGLibA_02963	ARL3	149	196	206	94	220	134
HGLibA_23616	IRGQ	169	152	171	282	114	276
HGLibA_29908	MRPL16	105	133	130	165	95	62
HGLibA_19578	GNPTG	137	128	124	117	178	104
HGLibA_64133	hsa-mir-8073	72	80	96	136	96	91
HGLibA_29841	MRGPRF	172	238	181	325	236	106
HGLibA_56780	ZNF8	132	157	160	151	216	154
HGLibA_13114	DHPS	164	188	72	108	360	88
HGLibA_12999	DERL2	87	51	47	93	129	80
HGLibA_40623	RBMY1F	40	33	44	67	10	10
HGLibA_61446	hsa-mir-500b	157	86	125	103	104	99
HGLibA_36524	PICK1	61	96	72	97	121	54
HGLibA_29288	MIOX	36	76	56	36	100	90
HGLibA_16236	FAM166B	51	57	46	22	47	33
HGLibA_45278	SLC5A6	147	184	122	64	238	67
HGLibA_50612	TMPRSS11A	148	105	124	151	161	119
HGLibA_53558	VAX1	109	114	77	77	111	91
HGLibA_44411	SLC15A3	116	182	143	156	210	143
HGLibA_24916	KIF26A	222	167	244	200	287	187
HGLibA_14920	ELL	29	59	60	59	54	40
HGLibA_04386	BDNF	39	61	57	83	108	57
HGLibA_48882	TDG	157	124	104	140	132	47
HGLibA_48597	TBCEL	150	220	243	203	217	227
HGLibA_09343	CHADL	169	132	110	130	138	106
HGLibA_16825	FAM9C	99	193	124	143	246	131
HGLibA_59295	hsa-mir-3685	197	209	233	248	251	223
HGLibA_28032	MALSU1	139	170	117	146	277	115
HGLibA_18046	FRS2	144	99	112	131	191	115
HGLibA_01801	AMMECR1	130	201	152	243	133	199
HGLibA_60370	hsa-mir-4488	140	165	246	225	124	224
HGLibA_27173	LRIF1	235	335	235	262	314	308
HGLibA_22172	HSD17B10	118	126	105	133	87	103
HGLibA_13599	DNAJC22	108	98	74	144	79	113
